IDStations,Latitude,Longitude,Time,Altitude,AQ_pm10,AQ_pm25,AQ_co,AQ_nh3,AQ_nox,AQ_no2,AQ_so2,WE_temp_2m,WE_wind_speed_10m_mean,WE_wind_speed_10m_max,WE_mode_wind_direction_10m,WE_tot_precipitation,WE_precipitation_t,WE_surface_pressure,WE_solar_radiation,WE_rh_min,WE_rh_mean,WE_rh_max,WE_wind_speed_100m_mean,WE_wind_speed_100m_max,WE_mode_wind_direction_100m,WE_blh_layer_max,WE_blh_layer_min,EM_nh3_livestock_mm,EM_nh3_agr_soils,EM_nh3_agr_waste_burn,EM_nh3_sum,EM_nox_traffic,EM_nox_sum,EM_so2_sum,LI_pigs,LI_bovine,LI_pigs_v2,LI_bovine_v2,LA_hvi,LA_lvi,LA_land_use,LA_soil_use
STA-CH0033A,46.1603,8.93394,2020-01-01,203,28.19,24.48,NA,NA,68.77,28.74,2.173,4.064,0.8807,1.354,S,2.127e-6,0,91820,4437000,56.4,64.74,77.04,1.469,3.881,S,126.3,11.3,1.142,0.03312,4.089e-4,1.921,1.382,4.356,2.656,NA,NA,NA,NA,2.505,2.27,211,NA
STA-CH0033A,46.1603,8.93394,2020-01-02,203,23.76,20.23,NA,NA,104.7,35.55,2.301,2.14,0.7672,1.107,S,1.071e-6,0,91850,4082000,54.37,72.32,92.36,1.048,3.058,S,182,12.6,1.14,0.02846,3.975e-4,1.916,1.377,4.356,2.661,NA,NA,NA,NA,2.503,2.269,211,NA
STA-CH0033A,46.1603,8.93394,2020-01-03,203,24.85,21.44,NA,NA,116.7,34.91,2.599,1.598,0.9067,1.46,S,2.09e-6,0,91420,3002000,61.29,73.45,83.97,1.816,3.807,S,122.1,15.75,1.138,0.02464,3.853e-4,1.913,1.374,4.359,2.668,NA,NA,NA,NA,2.502,2.269,211,NA
STA-CH0033A,46.1603,8.93394,2020-01-04,203,14.74,12.56,NA,NA,56.66,25.12,1.89,2.192,1.524,1.824,S,2.401e-5,0,91290,3699000,61.3,68.75,80.94,4.418,5.524,S,545.8,55.04,1.137,0.02162,3.723e-4,1.911,1.37,4.365,2.678,NA,NA,NA,NA,2.5,2.268,211,NA
STA-CH0033A,46.1603,8.93394,2020-01-05,203,14.82,11.73,NA,NA,42.21,26.78,1.486,2.027,1.129,1.78,S,2.525e-6,0,91630,4473000,46.63,60.38,69.79,3.354,5.357,S,426,21.73,1.136,0.01936,3.586e-4,1.911,1.367,4.374,2.69,NA,NA,NA,NA,2.499,2.268,211,NA
STA-CH0033A,46.1603,8.93394,2020-01-06,203,30.89,27.82,NA,NA,72.64,38.08,2.451,1.968,0.5221,0.7928,S,8.508e-7,0,91670,4458000,54.21,68.05,80,0.9699,2.96,S,345.8,12.61,1.135,0.01783,3.444e-4,1.913,1.365,4.385,2.705,NA,NA,NA,NA,2.498,2.267,211,NA
STA-CH0033A,46.1603,8.93394,2020-01-07,203,31.71,29.55,NA,NA,114.8,40.35,2.691,3.32,0.7636,1.01,S,9.949e-6,0,91380,3759000,53.67,60.75,76.72,2.617,3.475,S,264.2,43.66,1.135,0.01699,3.296e-4,1.917,1.363,4.399,2.721,NA,NA,NA,NA,2.496,2.267,211,NA
STA-CH0033A,46.1603,8.93394,2020-01-08,203,33.02,19.21,NA,NA,116.4,45.99,3.18,3.201,0.8041,1.228,S,0,0,91710,4594000,50.07,64.02,71.02,1.659,3.782,S,142.4,13.06,1.135,0.01682,3.144e-4,1.922,1.361,4.414,2.74,NA,NA,NA,NA,2.495,2.266,211,NA
STA-CH0033A,46.1603,8.93394,2020-01-09,203,25.07,18.5,NA,NA,105.3,39.78,3.158,1.184,0.7541,1.181,S,5.406e-7,0,91390,4159000,70.17,86.7,95.76,0.7777,2.447,N,177.6,11.13,1.136,0.01728,2.989e-4,1.928,1.36,4.432,2.76,NA,NA,NA,NA,2.493,2.266,211,NA
STA-CH0033A,46.1603,8.93394,2020-01-10,203,23.41,17.1,NA,NA,87.38,40.43,3.233,1.65,0.745,1.185,S,9.728e-5,0,91150,4245000,65.46,79.59,98.37,1.457,3.657,S,595.8,21.45,1.136,0.01834,2.831e-4,1.936,1.359,4.45,2.781,NA,NA,NA,NA,2.492,2.265,211,NA
